Designator,Mid X,Mid Y,Rotation,Layer
C1,36.195,32.385,180.0,top
C12,28.5675,20.4775,180.0,top
C13,44.549656,20.455,180.0,top
C14,34.29,26.035,90.0,top
C15,50.272156,20.7275,270.0,top
C16,34.29,20.75,270.0,top
C17,50.272156,26.0125,90.0,top
C19,35.56,46.355,180.0,top
C2,34.925,43.815,270.0,top
C3,10.795,48.26,180.0,top
C4,10.795,46.355,180.0,top
C5,36.83,43.815,270.0,top
C6,22.7255,17.9375,90.0,top
C7,38.707656,17.915,90.0,top
C8,24.5035,17.9375,90.0,top
C9,40.485656,17.915,90.0,top
D1,11.43,21.454,270.0,top
D2,20.32,19.685,90.0,top
D3,24.13,5.08,270.0,top
D4,41.275,43.18,0.0,top
D5,12.7,9.525,0.0,top
F1,11.43,16.002,0.0,top
J1,3.81,17.272,270.0,top
J2,4.95,33.02,270.0,top
J4,16.256,5.08,0.0,top
L1,28.5675,24.9225,0.0,top
L2,44.549656,24.9,0.0,top
Q1,16.51,15.875,0.0,top
R1,11.176,36.322,0.0,top
R10,10.795,40.64,0.0,top
R11,10.795,44.45,0.0,top
R12,31.75,19.685,270.0,top
R13,31.75,16.51,270.0,top
R14,47.732156,19.6625,270.0,top
R15,47.732156,16.4875,270.0,top
R2,11.176,29.21,0.0,top
R3,17.145,19.05,0.0,top
R4,17.145,20.955,180.0,top
R5,17.272,34.036,0.0,top
R6,17.272,32.004,0.0,top
R7,35.56,5.08,270.0,top
R8,36.195,34.29,0.0,top
R9,10.795,42.545,0.0,top
SW1,40.835,33.655,180.0,top
SW2,40.835,38.1,180.0,top
U1,13.335,33.02,270.0,top
U2,29.845,5.08,270.0,top
U3,72.575,25.984,270.0,top
U4,19.615,43.815,0.0,top
U5,32.385,43.815,0.0,top
U6,28.5675,17.9375,270.0,top
U7,44.549656,17.915,270.0,top
